,Cause of Breach,Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Entity Address,Entity Type,Individuals Affected,Name of Entity,State Reported
118,,"Name or other personal identifier in combination with  financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-10-22 00:00:00,,8/26/18-8/29/18 (discovered 9/12/18),,,463(in Maine,"Challenger Sports, Inc., 8263 Flint Street, Lenexa, KS  66214",Maine
119,,"Name or other personal identifier in combination with  financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-10-19 00:00:00,,9/14/18-9/17/18 (discovered 9/26/18),,,4(in Maine,"Scrapbook.com LLC, 1495 E. Baseline Road, Suite 102, Gilbert, Arizona, 85233",Maine
120,,"Name or other personal identifier in combination with SSN, driver's license number or n on-driver identification card number and financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-10-18 00:00:00,,6/5/28-6/13/18 (discovered 6/13/18-9/27/18),,,126(in Maine,"Renaissance Pilanthropic Solutions Group (""RenPSG""), 8910 Purdue Road, Suite 500, Indianapolis, IN  46268",Maine
121,,Name or other personal identifier in combination with SSN,2018-10-17 00:00:00,,2018-05-01 00:00:00,,,1(in Maine,"Tallahassee Memorial Healthcare Inc., 1300 Miccosukee Road, Tallahassee, FL 32308",Maine
122,,"Name or other identifier in combination with SSN, Driver's license number or non-driver identification card number",2018-10-12 00:00:00,,4/1/18 (discovered 9/4/18),,,1(in Maine,"Liquidity Services, Inc., 6931 Arlington, Road, Suite 200, Bethesda, MD 20814",Maine
123,,"Name, addres, payment card numbers and security codes",2018-10-11 00:00:00,,9/15/18 - 9/17/18,,,1(in Maine,Goody Tickets,Maine
124,,Name or other personal identifier in combination with SSN,2018-10-10 00:00:00,,7/28/18-8.2.18 (discovered 8/31/18),,,2(in Maine,"Commerce Bank, 320 Eagle Crest Drive, Ste. E, Evansville, Indiana 47715",Maine
125,,"Name or other personal identifier in combination with SSN, driver's license number or non-driver identification card number",2018-10-10 00:00:00,,7/2018 (discovered 8/2/18),,,53(in Maine,"Envision Healthcare Corporation, 1A Burton Hills Blvd, Nashville, TN 37215",Maine
126,,"Name, names of dependents, contact information, claim and deductible  info and/or other info regarding member's medical history.  SSN's were not accessed or viewd.",2018-10-09 00:00:00,,Beginning 9/5/18,,,10(in Maine,"Cigna, B6LPA, 900 Cottage Grove Road, Bloomfield, CT 06002",Maine
127,,See September 10th Notice,2018-10-09 00:00:00,,Supplement to 9/10/18 breach notice,,,56 additional Maine consumers(in Maine,"RRTS (Roadrunner Transportation Systems, Inc., 1431 Opus Place, Suite 530, Downers Grove, IL 60515",Maine
128,,"Name or other personal identifier in combination with SSN, driver's license number or n on-driver identification card number and financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-10-05 00:00:00,,8/14/18-8/28/18 & 9/18/18-9/19/18 ,,,17(in Maine,"Five Below, Inc., 701 Market Street, Suite 200, Philadelphia, PA 19106",Maine
129,,Name or other personal identifier in combination with SSN,2018-10-05 00:00:00,,1/20/19 (discovered 8/29/18),,,16(in Maine,"Health Fitness Inc. on behalf of its clients (Amedysis and MACTEC), 400 Field Drive, Lake Forest, IL 60045",Maine
130,,"Name or other personal identifier in combination with SSN, driver's license number or n on-driver identification card number and financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-10-05 00:00:00,,2/7/18-3/27/18 (discovered 6/27/18)  SUPPLEMENT TO 9/4 NOTICE,,,4(in Maine,"North American Risk Services, Inc., PO Box 166002, Altamonte Springs, FL 32716-6002 ",Maine
131,,Name or other personal identifier in combination with SSN ,2018-10-05 00:00:00,,3/27/18-9/2/18 (discovered 9/17/18),,,3(in Maine,"California State University East Bay, 25800 Carlos Bee Boulevard SA 4401, Hayward, CA  94542",Maine
132,,"Name or other personal identifier in combination with SSN and financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-10-04 00:00:00,,4/1/18-8/21/18,,,3(in Maine,"LeafFilter North, LLC, 1595 Georgetown Road, Hudson, OH 44236",Maine
133,,"Name or other personal identifier in combination with financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-10-03 00:00:00,,7/14/18-7/16/18 (discovered 8/28/18),,,1(in Maine,"Shoe Station, Inc., 720 Executive Park Drive, Mobile, AL 36606",Maine
134,,"Name or other personal identifier in combination with financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-10-03 00:00:00,,3/9/17-4/5/17 (Discovered 9/19/18),,,1(in Maine,"Professional Publications, Inc., 1250 Fifth Avenue, Belmont, CA 94002",Maine
135,,"Name, SSN and possibly one or more of the following: driver's license number, state ID number and credit or debit card information.",2018-10-02 00:00:00,,4/2/18 - 5/11/18,,,1(in Maine,Lion Equity Partners,Maine
136,,"Name, shipping address, last 4 digits of payment card, email address and password, ",2018-10-02 00:00:00,,Unknown (discovered 9/12/18),,,1(in Maine,"J Crew, 224 Liberty St, 17th Fl, New York, NY 10281",Maine
137,,Name or other personal identifier in combination with SSN ,2018-09-28 00:00:00,,2018-08-15 00:00:00,,,1(in Maine,"Toyota Industries North America, Inc., 3030 Barker Drive, Columbus, IN  47201",Maine
138,,Name or other personal identifier in combination with SSN,2018-10-03 00:00:00,,4/9/2018 (discovered 7/17/18),,,2(in Maine,"Another Planet Entertainment, 1815 4th Street, Suite C, Berkeley, CA 94710",Maine
139,,"Name or other personal identifier in combination with SSN and financial account number or credit or debit card number, in combination with security code, access code password or PIN for the account",2018-09-28 00:00:00,,6/2/18-8/9/18 (discovered 8/24/18),,,28(in Maine,"The Coca-Cola Bottling Co. of Northern New England, 1 Executive Park Drive, Bedford, NH 03110-6913",Maine
140,,Name or other personal identifier in combination with SSN,2018-09-28 00:00:00,,7/5/18 (discovered 8/6/28),,,4(in Maine,"AEI Fund Management, Inc., 1300 Wells Fargo Place, 30 East Seventh Street, St. Paul, MN 55101",Maine
141,,Name and financial account numbers,2018-09-28 00:00:00,,2018-08-22 00:00:00,,,7(in Maine,"Wintrust Financial Corporation, 9700 W. Higgins Road, Rosemont, IL 60018",Maine
142,,"Name, email address, shipping address, Chegg username, and hashed Chegg password",2018-09-26 00:00:00,,"On or around April 29, 2018",,,75000(in Maine,"Chegg, Inc., 3990 Freedom Circle, Santa Clara, CA  95054",Maine
143,,"Name or other personal identifier in combination with driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with security code, access code password or PIN for the account",2018-09-24 00:00:00,,10/25/17-4/25/18 (discovered 8/22/18),,,2(in Maine,"Protravel International LLC, 515 Madison Avenue, 10 Floor, New York, NY",Maine
144,,"Name, payment card information (card #, exp date and security code) as well aswebsite username and password.",2018-09-21 00:00:00,,7/17/18 to 7/20/18,,,15(in Maine,"Plant Therapy, Twin Falls, Idaho",Maine
145,,Name or other personal identifier in combination with SSN,2018-09-19 00:00:00,,11/1/2017 (discovered 3/28u/18),,,19(in Maine,"The Affiliated Group, 7381 Airport View Drive SW, Rochester, MN 55902",Maine
146,,"Unsure, but may have been name, address, SSN and driver's license no.",2018-09-18 00:00:00,,Discovered 8/20/18,,,3(in Maine,"Performance Food Group, Inc.",Maine
147,,Name or other personal identifier in combination with SSN,2018-09-21 00:00:00,,2018-07-24 00:00:00,,,27(in Maine,"YRC Worldwide Inc., 10990 Roe Ave, Overland, Park, KS 66211",Maine
148,,Name or other personal identifier in combination with SSN,2018-09-19 00:00:00,,2/1/18 (discovered 8/13/18),,,1(in Maine,"Tauck, Inc., 10 Westport Road, Wilton, CT 06897",Maine
149,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with security code, access code password or PIN for the account",2018-09-19 00:00:00,,2/22/17-5/22/18 (discovered 8/8/18),,,139(in Maine,"Tech Rabbit LLC, 601 Lehigh Ave, Union, NJ 07083",Maine
150,,Discover Card account information,2018-09-17 00:00:00,,2018-08-01 00:00:00,,,3(in Maine,Arby's ,Maine
151,,Discover Card account information,2018-09-17 00:00:00,,2018-08-01 00:00:00,,,3(in Maine,Automated Pet Care Products,Maine
152,,Discover Card account information,2018-09-17 00:00:00,,2018-08-01 00:00:00,,,1(in Maine,Braintree PSP,Maine
153,,Discover Card account information,2018-09-17 00:00:00,,2018-08-01 00:00:00,,,22(in Maine,Rainbow Resource Center,Maine
154,,Name or other personal identifier in combination with SSN,2018-09-14 00:00:00,,10/21/17 (discovered 8/6/18),,,1(in Maine,"Garvey Schubert Barer, P.C., 1191 Second Avenue, Suite 1800, Seattle, WA 98101-2939",Maine
155,,"Name or other personal identifier in combination with financial account (Aeroplan frequent flyer acct #) number or credit or debit card number, in combination with the security code, access code, password, or PIN  ",2018-09-14 00:00:00,,2018-08-22 00:00:00,,,2(in Maine,"Air Canada, ZIP 1276, 730 boul, Cote Vertu West, Dorval, QC H4S 1Y9",Maine
156,,"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number, and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN  ",2018-09-11 00:00:00,,2/9-8/22/18,,,106(in Maine,"Peaceful Valley Farm Supply, 125 Clydesdale Ct, Grass Valley, CA 95945",Maine
157,,"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number, and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN ",2018-09-10 00:00:00,,2018-04-01 00:00:00,,,97(in Maine,"Roadrunner Transportation Systems, Inc., 1431 Opus Place, Suite 530; Downers Grove, IL 60515",Maine
158,,"Name, address, SSN and/or financial account information",2018-09-07 00:00:00,,"Discovered August 1, 2018",,,35(in Maine,"Nardella & Taylor, LLP",Maine
159,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-09-07 00:00:00,,5/19/18 -  7/9 /18 (discovered 8/6/18),,,1(in Maine,"Stein Mart, Inc., 1200 Riverplace Blvd., Jacksonville, Florida 32207",Maine
160,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-09-07 00:00:00,,5/19/18 - 7/9/18 (discovered 8/6/18),,,8(in Maine,"Title Nine, 6201 Doyle Street, Emeryville, California, 94608",Maine
161,,"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number, and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-09-06 00:00:00,,2018-07-30 00:00:00,,,5(in Maine,"Sanibel Captiva Trust Company, 2460 Palm Ridge Road, Sanibel, FL 33957",Maine
162,,s,2018-09-06 00:00:00,,s,,,4(in Maine,"ECS Tuning, 1000 Seville Road, Wadsworth, OH  44281",Maine
163,,Name or other personal identifier in combination with SSN,2018-09-04 00:00:00,,2018-08-30 00:00:00,,,31(in Maine,"Kyocera Document Solutions New England, Inc., One Jewel Drive, Wilmington, MA 018878",Maine
164,,Name or other personal identifier in combination with SSN,2018-09-04 00:00:00,,2/7/18 - 3/27/18 (discovered 6/27/18),,,1(in Maine,"North American Risk Services, Inc., PO Box 166002, Altamonte Springs, FL 32716-6002",Maine
165,,"Name or other personal identifier in combination with SSN, Driver's license number or non-driver ID number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-08-31 00:00:00,,10/9/17-3/29/18 (discovered 8/1/18),,,7(in Maine,"Movement Mortgage, LLC, 8024 Calvin Hall Road, Indian Land, SC 29707",Maine
