"
Organization Name ","
            Date(s) of Breach          ","
Reported Date "
"b'\nAmerican Residuals and Talen, Inc. (""ART"") '",b'\n10/18/2014 ',b'\n            12/01/2014          '
"b'\nShutterfly, Inc. '",b'\n            n/a          ',b'\n            11/26/2014          '
"b'\nGodiva Chocolatier, Inc. '",b'\n10/16/2014 ',b'\n            11/25/2014          '
b'\nState Compensation Insurance Fund ',b'\n            n/a          ',b'\n            11/25/2014          '
b'\nREEVE-WOODS EYE CENTER ',b'\n            n/a          ',b'\n            11/14/2014          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            11/07/2014          '
b'\nPalm Springs Federal Credit Union ',b'\n10/20/2014 ',b'\n            11/03/2014          '
"b'\nUS Investigations Services, LLC '",b'\n            n/a          ',b'\n            10/29/2014          '
b'\nEast West Bank-CA Impacted Customers-Kmart Data Breach ',"b'\n09/01/2014, 10/09/2014 '",b'\n            10/27/2014          '
"b'\nFidelity National Financial, Inc. '","b'\n04/14/2014, 04/16/2014 '",b'\n            10/24/2014          '
"b'\nAmerican Soccer Company, Inc. '",b'\n09/04/2014 ',b'\n            10/23/2014          '
"b'\nReeves International, Inc. '",b'\n03/31/2013 ',b'\n            10/23/2014          '
"b'\nSourcebooks, Inc. '",b'\n04/16/2014 ',b'\n            10/17/2014          '
"b'\nCyberswim, Inc.  '",b'\n05/12/2014 ',b'\n            10/14/2014          '
b'\nUniversity of California Davis Medical Center ',b'\n09/25/2014 ',b'\n            10/13/2014          '
b'\nSAUSALITO YACHT CLUB ',b'\n09/30/2014 ',b'\n            10/10/2014          '
"b'\nInternational Dairy Queen, Inc. (\xe2\x80\x9cIDQ\xe2\x80\x9d) on behalf of 9 Dairy Queen franchise locations in California listed in the attached addendum.   '",b'\n            n/a          ',b'\n            10/09/2014          '
"b'\nEvolution Nature Corp. d/b/a The Evolution Store (Evolution"") '",b'\n            n/a          ',b'\n            10/09/2014          '
"b'\nTouchstone Medical Imaging, LLC '",b'\n05/09/2014 ',b'\n            10/03/2014          '
b'\nEast West Bank ',"b'\n06/22/2014, 09/17/2014 '",b'\n            10/02/2014          '
b'\nCommunity Technology Alliance ',b'\n07/28/2014 ',b'\n            10/02/2014          '
b'\nEast West Bank ',"b'\n04/11/2014, 09/07/2014 '",b'\n            10/02/2014          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n06/13/2013 ',b'\n            10/01/2014          '
"b'\nFlinn Scientific, Inc. '","b'\n05/02/2014, 09/08/2014 '",b'\n            10/01/2014          '
"b""\nAlbertson's LLC """,b'\n            n/a          ',b'\n            09/29/2014          '
b'\nBay Area Bioscience Association ',b'\n            n/a          ',b'\n            09/26/2014          '
"b'\nPacific Biosciences of California, Inc. '",b'\n09/16/2014 ',b'\n            09/25/2014          '
"b""\nJimmy John's Franchises LLC """,b'\n06/16/2014 ',b'\n            09/24/2014          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            09/24/2014          '
b'\nViator ',b'\n            n/a          ',b'\n            09/22/2014          '
b'\nTim McCoy & Associates (DBA NEAT Management Group) ',b'\n08/27/2014 ',b'\n            09/15/2014          '
"b'\nCounty of Napa, Health and Human Services Agency, Comprehensive Services for Older Adults '",b'\n08/27/2014 ',b'\n            09/12/2014          '
b'\nCedars-Sinai Health System ',b'\n06/23/2014 ',b'\n            09/10/2014          '
"b'\nThe Home Depot, Inc. '",b'\n            n/a          ',b'\n            09/09/2014          '
b'\nYandy.com ',"b'\n05/28/2014, 07/20/2014, 08/13/2014, 08/18/2014 '",b'\n            09/08/2014          '
"b'\nCalifornia State University, East Bay '",b'\n08/23/2013 ',b'\n            09/05/2014          '
b'\nJ.P. Morgan Corporate Challenge ',b'\n            n/a          ',b'\n            09/05/2014          '
"b'\nGoodwill Industries of Sacramento Valley and Northern Nevada, Inc. '",b'\n            n/a          ',b'\n            09/02/2014          '
b'\nAltaMed Health Services Corporation ',b'\n            n/a          ',b'\n            08/29/2014          '
b'\nBartell Hotels ',"b'\n02/16/2014, 05/13/2014 '",b'\n            08/29/2014          '
b'\nDepartment of Social Services ',b'\n07/16/2014 ',b'\n            08/29/2014          '
b'\nClamCase LLC ',b'\n            n/a          ',b'\n            08/28/2014          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            08/27/2014          '
b'\nImhoff and Associates ',b'\n06/27/2014 ',b'\n            08/26/2014          '
b'\nGeekface LLC ',b'\n08/05/2014 ',b'\n            08/26/2014          '
b'\nCedars-Sinai Health System ',b'\n06/23/2014 ',b'\n            08/22/2014          '
"b'\nAscensus, Inc '",b'\n07/29/2014 ',b'\n            08/21/2014          '
b'\nCommunity Health Systems Professional Services Corporation ',"b'\n04/10/2014, 06/24/2014 '",b'\n            08/20/2014          '
"b'\nThe UPS Store, Inc. on behalf of 51 franchised center locations '",b'\n01/20/2014 ',b'\n            08/20/2014          '
"b'\nMEETME, INC. '",b'\n08/05/2014 ',b'\n            08/18/2014          '
"b""\nAlbertson's LLC ""","b'\n06/22/2014, 07/17/2014 '",b'\n            08/18/2014          '
"b'\nFreedom Management Group, LLC dba The Natural '",b'\n04/22/2014 ',b'\n            08/12/2014          '
b'\nSan Mateo Medical Center ',b'\n12/05/2013 ',b'\n            08/07/2014          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n03/13/2011 ',b'\n            08/07/2014          '
b'\nAnderson & Murison ',"b'\n06/01/2014, 07/18/2014 '",b'\n            08/07/2014          '
b'\nUniversity of California Santa Barbara ',b'\n11/01/2013 ',b'\n            08/07/2014          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n07/06/2013 ',b'\n            08/06/2014          '
"b'\nVibram USA, Inc.  '","b'\n06/06/2014, 07/07/2014 '",b'\n            08/05/2014          '
"b""\nP.F. Chang's China Bistro """,b'\n10/19/2013 ',b'\n            08/04/2014          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            08/04/2014          '
"b'\nTest Effects, LLC '","b'\n12/24/2013, 01/19/2014 '",b'\n            08/04/2014          '
b'\nRecreational Equipment Inc. ',b'\n07/04/2014 ',b'\n            07/31/2014          '
b'\nMount Olympus Mortgage Company ',b'\n04/28/2014 ',b'\n            07/30/2014          '
"b'\nLasko Group, Inc. '","b'\n12/27/2011, 07/02/2014 '",b'\n            07/30/2014          '
b'\nNorthern Trust ',b'\n05/17/2014 ',b'\n            07/29/2014          '
b'\nBackcountry Gear ',b'\n04/27/2014 ',b'\n            07/28/2014          '
"b'\nManaged Med, A Psychological Corporation '",b'\n03/01/2013 ',b'\n            07/25/2014          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            07/25/2014          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            07/17/2014          '
b'\nBay Area Pain Medical Associates ',b'\n05/19/2014 ',b'\n            07/16/2014          '
b'\nBank of the West ',b'\n            n/a          ',b'\n            07/16/2014          '
b'\nCity of Encinitas 7 San Dieguito Water District ',"b'\n05/13/2014, 07/03/2014 '",b'\n            07/15/2014          '
b'\nAtlantic Automotive Corporation d/b/a MileOne ',b'\n03/05/2014 ',b'\n            07/15/2014          '
b'\nDepartment of Managed Health Care ',b'\n05/16/2014 ',b'\n            07/11/2014          '
b'\nAECOM Technology Corporation ',b'\n            n/a          ',b'\n            07/08/2014          '
b'\nHeartland Automotive Services Inc. ',b'\n06/24/2014 ',b'\n            07/08/2014          '
b'\nBlue Shield of California ',"b'\n02/28/2013, 03/31/2013, 04/30/2013 '",b'\n            07/03/2014          '
"b'\nWatermark Retirement Communities, Inc. '",b'\n06/13/2014 ',b'\n            07/03/2014          '
b'\nBlack Mountain Software ',"b'\n05/30/2014, 06/02/2014, 06/05/2014, 06/07/2014, 06/08/2014, 06/09/2014, 06/13/2014, 05/30/2014, 06/11/2014, 06/10/2014 '",b'\n            07/03/2014          '
b'\nBenjamin F. Edwards & Co. ',b'\n05/24/2014 ',b'\n            06/27/2014          '
b'\nRecord Assist LLC ',b'\n05/28/2014 ',b'\n            06/26/2014          '
"b'\nSterne, Agee & Leach, Inc. '",b'\n05/29/2014 ',b'\n            06/26/2014          '
b'\nButler University ',"b'\n11/01/2013, 05/28/2014 '",b'\n            06/26/2014          '
b'\nRiverside County Regional Medical Center ',b'\n06/17/2014 ',b'\n            06/24/2014          '
"b""\nRady Children's Hospital-San Diego ""","b'\n06/06/2014, 11/30/2009, 11/30/2010, 11/30/2011 '",b'\n            06/20/2014          '
"b'\nUniversity of California, Washington Center (UCDC) '",b'\n06/07/2014 ',b'\n            06/20/2014          '
"b'\nThe Metropolitan Companies, Inc. '",b'\n04/21/2014 ',b'\n            06/18/2014          '
"b'\nAmerican Express Travel Related Services Company, Inc and/or its Affiliates (""AXP"") '",b'\n03/08/2013 ',b'\n            06/17/2014          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n03/08/2013 ',b'\n            06/16/2014          '
b'\nSafetyFirst ',b'\n09/27/2013 ',b'\n            06/13/2014          '
b'\nRiverside Community College District ',b'\n05/30/2014 ',b'\n            06/13/2014          '
"b'\nFidelity National Financial, Inc. '","b'\n07/01/2013, 11/01/2013 '",b'\n            06/13/2014          '
b'\nSanta Rosa Memorial Hospital ',b'\n06/02/2014 ',b'\n            06/12/2014          '
b'\nThe Union Labor Life Insurance Company ',b'\n02/17/2014 ',b'\n            06/12/2014          '
b'\nStanford Federal Credit Union ',b'\n04/30/2014 ',b'\n            06/11/2014          '
"b'\nAT&T Mobility, LLC '","b'\n04/09/2014, 04/21/2014 '",b'\n            06/10/2014          '
b'\nCollege of the Desert ',b'\n06/05/2014 ',b'\n            06/09/2014          '
"b'\nNational Credit Adjusters, LLC '",b'\n            n/a          ',b'\n            06/04/2014          '
b'\nCraftsman Book Company ',b'\n03/09/2014 ',b'\n            06/03/2014          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n06/13/2012 ',b'\n            06/02/2014          '
"b'\nAmerican Express Travel Related Services Company, Inc. and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            05/29/2014          '
b'\nSHARPER FUTURE ',b'\n03/29/2014 ',b'\n            05/28/2014          '
b'\nSan Diego State University ',b'\n            n/a          ',b'\n            05/22/2014          '
"b'\nPaytime Harrisburg Inc. d/b/a Paytime, Inc. '",b'\n04/07/2014 ',b'\n            05/21/2014          '
b'\nAffinity Gaming ',"b'\n12/07/2013, 04/28/2014 '",b'\n            05/19/2014          '
"b""\nLowe's Companies, Inc. ""","b'\n07/01/2013, 04/02/2014 '",b'\n            05/19/2014          '
b'\nUniversity of California Irvine ',"b'\n02/14/2014, 03/13/2014, 03/22/2014, 03/27/2014 '",b'\n            05/14/2014          '
b'\nGingerbread Shed Corporation ',"b'\n11/25/2013, 02/17/2014 '",b'\n            05/07/2014          '
"b""\nGreen's Accounting """,b'\n04/06/2014 ',b'\n            05/07/2014          '
b'\nDepartment of Child Support Services ',b'\n04/07/2014 ',b'\n            05/06/2014          '
b'\nground(ctrl) ',b'\n03/08/2014 ',b'\n            05/05/2014          '
"b'\nJCM Partners, LLC '",b'\n            n/a          ',b'\n            05/01/2014          '
b'\nBoomerang Tags ',b'\n07/04/2013 ',b'\n            04/30/2014          '
"b'\nSnelling Staffing, LLC '",b'\n01/20/2014 ',b'\n            04/22/2014          '
"b'\nNCO Financial Systems, Inc. '",b'\n03/29/2014 ',b'\n            04/22/2014          '
b'\nLaCie USA ',b'\n03/27/2013 ',b'\n            04/11/2014          '
b'\nVeterans of Foreign Wars of the United States ',b'\n02/12/2014 ',b'\n            04/11/2014          '
b'\nDeltek Inc. ',"b'\n07/13/2013, 11/02/2013 '",b'\n            04/10/2014          '
"b'\nStumbleUpon, Inc. '",b'\n            n/a          ',b'\n            04/08/2014          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            04/07/2014          '
b'\nCole Taylor Bank ',b'\n02/07/2014 ',b'\n            04/03/2014          '
b'\nSutherland Healthcare Solutions ',b'\n02/05/2014 ',b'\n            04/03/2014          '
b'\nKaiser Permanente Northern CA Department of Research ',"b'\n10/18/2011, 02/12/2014 '",b'\n            04/02/2014          '
b'\nCalifornia Department of Corrections and Rehabilitation ',b'\n03/03/2014 ',b'\n            04/02/2014          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            04/01/2014          '
b'\nITHAKA ',b'\n            n/a          ',b'\n            03/31/2014          '
b'\nPalomar Health ',b'\n02/22/2014 ',b'\n            03/28/2014          '
b'\nSorenson Communications ',"b'\n02/20/2014, 03/02/2014 '",b'\n            03/27/2014          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            03/25/2014          '
"b'\nCastle Creek Properties, Inc., dba Rosenthal the Malibu Estates '",b'\n            n/a          ',b'\n            03/21/2014          '
b'\nMarian Regional Medical Center ',"b'\n03/02/2014, 03/03/2014, 03/04/2014, 03/05/2014, 03/06/2014 '",b'\n            03/20/2014          '
b'\nDiscover Financial Services ',b'\n            n/a          ',b'\n            03/20/2014          '
"b'\nArcadia Health Services, Inc. d/b/a Arcadia Home Care & Staffing '",b'\n            n/a          ',b'\n            03/17/2014          '
b'\nSilversage Advisors ',b'\n02/20/2014 ',b'\n            03/13/2014          '
b'\nUCSF Family Medicine Center at Lakeshore ',b'\n01/11/2014 ',b'\n            03/12/2014          '
b'\nOANDA Corporation  ',b'\n03/03/2014 ',b'\n            03/05/2014          '
b'\nEureka Internal Medicine ',"b'\n09/25/2013, 10/09/2013 '",b'\n            03/04/2014          '
b'\nSt. Joseph Health ',b'\n02/18/2014 ',b'\n            03/03/2014          '
"b'\nAppleCare Insurance Services, Inc. '",b'\n01/01/2014 ',b'\n            02/28/2014          '
b'\n80sTees ',b'\n06/03/2012 ',b'\n            02/28/2014          '
b'\nThe J.M. Smucker Company ',b'\n12/23/2012 ',b'\n            02/27/2014          '
b'\nL.A. Care Health Plan ',"b'\n01/22/2014, 01/23/2014, 01/24/2014 '",b'\n            02/27/2014          '
b'\nThe Variable Annuity Life Insurance Company ',b'\n10/25/2007 ',b'\n            02/26/2014          '
b'\nDiscover Financial Services ',b'\n01/01/2014 ',b'\n            02/21/2014          '
b'\nDepartment of Resources Recycling and Recovery ',b'\n01/24/2014 ',b'\n            02/20/2014          '
b'\nBlue Shield of California ',b'\n12/20/2013 ',b'\n            02/18/2014          '
"b'\nThe Home Depot, Inc. '",b'\n            n/a          ',b'\n            02/10/2014          '
b'\nThe Freeman Company ',b'\n01/20/2014 ',b'\n            02/10/2014          '
b'\nEaster Seal Society of Superior California ',b'\n12/10/2013 ',b'\n            02/07/2014          '
b'\nBank of the West ',b'\n            n/a          ',b'\n            02/05/2014          '
"b'\nK. Min Yi, M.D. General Surgery '",b'\n05/28/2013 ',b'\n            02/05/2014          '
b'\nSt. Joseph Health System ',b'\n12/16/2013 ',b'\n            02/05/2014          '
b'\nUniversity of California Davis Medical Center ',b'\n12/13/2013 ',b'\n            02/03/2014          '
"b'\nBring it To Me, LLC '",b'\n01/13/2014 ',b'\n            01/29/2014          '
"b'\nMichaels Stores, Inc. '",b'\n            n/a          ',b'\n            01/27/2014          '
b'\nNeiman Marcus Group ',b'\n            n/a          ',b'\n            01/25/2014          '
b'\nThe Coca-Cola Company ',b'\n            n/a          ',b'\n            01/24/2014          '
"b'\nW.J. Bradley Mortgage Capital, LLC '",b'\n            n/a          ',b'\n            01/23/2014          '
"b'\nEaston-Bell Sports, Inc. '",b'\n12/01/2013 ',b'\n            01/17/2014          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n11/01/2012 ',b'\n            01/16/2014          '
b'\nUpdate Legal  ',b'\n            n/a          ',b'\n            01/13/2014          '
b'\nStraight Dope LLC ',b'\n12/15/2013 ',b'\n            01/09/2014          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            01/07/2014          '
b'\nEast West Bank ',"b'\n11/27/2013, 12/15/2013 '",b'\n            01/02/2014          '
"b'\n\xe2\x80\x98wichcraft Operating, LLC '",b'\n            n/a          ',b'\n            12/30/2013          '
b'\nT-Mobile US ',b'\n            n/a          ',b'\n            12/30/2013          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            12/29/2013          '
b'\nStakerLaw Tax and Estate Planning Law Corporation ',b'\n12/20/2013 ',b'\n            12/27/2013          '
"b'\nRobert Meaglia, DDS '","b'\n12/16/2013, 12/16/2013 '",b'\n            12/22/2013          '
b'\nAffinity Gaming LLC ',b'\n03/14/2013 ',b'\n            12/20/2013          '
"b'\nW.J. Bradley Mortgage Capital, LLC '",b'\n            n/a          ',b'\n            12/20/2013          '
b'\nTarget Corporation ',"b'\n11/27/2013, 12/15/2013 '",b'\n            12/20/2013          '
b'\nTechMedia Network ',b'\n10/04/2013 ',b'\n            12/20/2013          '
b'\nDiscover Financial Services ',b'\n            n/a          ',b'\n            12/20/2013          '
b'\nDiscover Financial Services ',b'\n            n/a          ',b'\n            12/20/2013          '
b'\nCITGO Petroleum Corporation ',b'\n10/09/2013 ',b'\n            12/18/2013          '
b'\nMassachusetts Mutual Life Insurance Company ',b'\n12/03/2013 ',b'\n            12/16/2013          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            12/16/2013          '
b'\nEDD ',b'\n09/30/2013 ',b'\n            12/13/2013          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            12/13/2013          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n05/28/2013 ',b'\n            12/12/2013          '
b'\nCottage Health System ',b'\n            n/a          ',b'\n            12/11/2013          '
"b'\nStephen T. Imrie, M.D. '",b'\n09/23/2013 ',b'\n            12/10/2013          '
b'\nLos Angeles Gay and Lesbian Community Services Center ',"b'\n09/17/2013, 11/08/2013 '",b'\n            12/10/2013          '
"b'\nDecisionDesk, Inc. '",b'\n10/28/2013 ',b'\n            12/10/2013          '
"b'\nHorizon Healthcare Services, Inc.,dba Horizon Blue Cross Blue Shield of New Jersey, and its affiliates '",b'\n11/01/2013 ',b'\n            12/06/2013          '
"b'\nJPMorgan Chase Bank, N.A. '",b'\n            n/a          ',b'\n            12/05/2013          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n02/10/2013 ',b'\n            12/04/2013          '
"b'\nB&G Foods, Inc. '",b'\n11/16/2013 ',b'\n            12/03/2013          '
b'\nMaricopa County Community Colleges District ',b'\n            n/a          ',b'\n            12/02/2013          '
b'\nBoard of Barbering and Cosmetology ',b'\n08/23/2013 ',b'\n            12/02/2013          '
"b'\nMarsh & McLennan Companies, Inc. and our affiliates '",b'\n06/13/2013 ',b'\n            11/26/2013          '
"b'\nKaiser Foundation Hospital Orange County, Anaheim Medical Center '",b'\n09/25/2013 ',b'\n            11/25/2013          '
b'\nSebastopol Sea Serpents ',b'\n10/13/2013 ',b'\n            11/25/2013          '
b'\nEmployment Development Dept. ',"b'\n09/14/2013, 10/09/2013 '",b'\n            11/22/2013          '
b'\nUniversity of California San Francisco ',b'\n09/25/2013 ',b'\n            11/21/2013          '
b'\nFlamingo Resort and Spa ',b'\n            n/a          ',b'\n            11/21/2013          '
"b'\nKroll Background America, Inc. '",b'\n            n/a          ',b'\n            11/21/2013          '
b'\nAnthem Blue Cross ',"b'\n10/23/2013, 10/24/2013 '",b'\n            11/20/2013          '
b'\nKathleen E. Whisman MD ',b'\n            n/a          ',b'\n            11/20/2013          '
b'\nDiscover Financial Services ',b'\n            n/a          ',b'\n            11/18/2013          '
b'\nLincoln Credit Center ',b'\n10/20/2013 ',b'\n            11/15/2013          '
b'\nUSI Insurance Services LLC ',b'\n10/02/2013 ',b'\n            11/13/2013          '
b'\nDatapak Services Corporation  ',b'\n03/05/2013 ',b'\n            11/08/2013          '
"b'\nDaVita, a division of DaVita HealthCare Partners Inc. '",b'\n09/06/2013 ',b'\n            11/05/2013          '
b'\nStandard Insurance Company ',b'\n            n/a          ',b'\n            11/04/2013          '
"b'\nHarbor Freight Tools USA, Inc. '","b'\n05/06/2013, 06/30/2013 '",b'\n            10/31/2013          '
b'\nDun & Bradstreet ',b'\n04/02/2013 ',b'\n            10/28/2013          '
b'\nYusen Logistics (Americas) Inc. ',b'\n09/24/2013 ',b'\n            10/25/2013          '
"b'\nInternational SOS Assistance, Inc '",b'\n08/24/2013 ',b'\n            10/25/2013          '
"b""\nThe Fisherman's Restaurant """,b'\n05/03/2013 ',b'\n            10/23/2013          '
"b'\nAHMC Healthcare, Inc and affiliated hospitals '",b'\n10/12/2013 ',b'\n            10/21/2013          '
b'\nOuidad ',b'\n06/30/2013 ',b'\n            10/18/2013          '
b'\nDiscover Financial Services ',b'\n            n/a          ',b'\n            10/17/2013          '
b'\nMonterey County Department of Social Services ',b'\n03/17/2013 ',b'\n            10/11/2013          '
b'\nLegal Aid Society of San Mateo County ',b'\n08/12/2013 ',b'\n            10/11/2013          '
b'\nKEARNY MESA INFINITI ',b'\n            n/a          ',b'\n            10/10/2013          '
b'\nMassachusetts Mutual Life Insurance Company ',b'\n09/13/2013 ',b'\n            10/04/2013          '
b'\nAdobe Systems Incorporated ',"b'\n09/11/2013, 09/12/2013, 09/13/2013, 09/14/2013, 09/15/2013, 09/16/2013, 09/17/2013 '",b'\n            10/03/2013          '
b'\nUCSF Medical Center ',b'\n09/09/2013 ',b'\n            10/02/2013          '
b'\nR.T. Jones Capital Management Equities ',b'\n07/22/2013 ',b'\n            10/01/2013          '
"b'\nPetrochem Insulation, Inc. '",b'\n07/18/2013 ',b'\n            10/01/2013          '
b'\nSanta Clara Valley Medical Center ',"b'\n09/14/2013, 09/15/2013 '",b'\n            09/27/2013          '
b'\nCalifornia Department of Public Health ',b'\n08/20/2013 ',b'\n            09/26/2013          '
b'\nICG America ',b'\n01/02/2013 ',b'\n            09/24/2013          '
b'\nUnique Vintage ',b'\n09/18/2013 ',b'\n            09/24/2013          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            09/23/2013          '
"b'\nWindhaven Investment Management, Inc. '",b'\n            n/a          ',b'\n            09/23/2013          '
b'\nBEL USA LLC ',"b'\n03/01/2013, 07/15/2013 '",b'\n            09/20/2013          '
"b'\nPLS Financial Services, Inc. '",b'\n            n/a          ',b'\n            09/18/2013          '
b'\nBuckeye Check Cashing of California LLC ',b'\n            n/a          ',b'\n            09/17/2013          '
"b'\nKaiser Foundation Health Plan, Inc. '",b'\n05/16/2013 ',b'\n            09/11/2013          '
b'\nFSV Payment Systems ',"b'\n07/22/2013, 07/28/2013 '",b'\n            09/11/2013          '
b'\nOutdoor Network LLC ',"b'\n12/14/2012, 07/24/2013 '",b'\n            09/09/2013          '
b'\nEdgewood Partners Insurance Center ',b'\n07/17/2013 ',b'\n            09/06/2013          '
"b'\nHankyu Chung, M.D. '",b'\n06/16/2013 ',b'\n            09/06/2013          '
b'\nInter-Continental Hotels Corporation ',b'\n07/04/2013 ',b'\n            09/02/2013          '
"b'\nMidwest Supplies, LLC '",b'\n06/13/2013 ',b'\n            08/27/2013          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n01/17/2012 ',b'\n            08/27/2013          '
b'\nAdvocate Medical Group ',b'\n07/15/2013 ',b'\n            08/23/2013          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n01/15/2013 ',b'\n            08/23/2013          '
"b'\nShore Mortgage (a division of United Shore Financial Services, LLC) '",b'\n06/02/2013 ',b'\n            08/22/2013          '
b'\nSan Francisco State University ',b'\n03/25/2013 ',b'\n            08/20/2013          '
b'\nCalifornia Department of Corrections and Rehabilitation  ',b'\n07/26/2013 ',b'\n            08/20/2013          '
b'\nExelixis ',b'\n07/30/2013 ',b'\n            08/16/2013          '
b'\nIncome and Capital Growth Strategies Inc. ',"b'\n07/12/2013, 07/13/2013, 07/14/2013 '",b'\n            08/12/2013          '
"b'\nCogent Healthcare, Inc. '","b'\n05/05/2013, 06/24/2013 '",b'\n            08/08/2013          '
b'\nSmartphone Experts ',b'\n            n/a          ',b'\n            08/07/2013          '
"b'\nVitreo-Retinal Medical Group, Inc., dba Retinal Consultants Medical Group, Inc. '",b'\n06/05/2013 ',b'\n            08/02/2013          '
b'\nUS Airways ',b'\n            n/a          ',b'\n            08/02/2013          '
"b'\nHealth Net, Inc. '","b'\n04/01/2013, 05/31/2013 '",b'\n            08/01/2013          '
b'\nSouth Central Los Angeles Regional Center ',b'\n07/06/2013 ',b'\n            07/31/2013          '
b'\nFidelity Investments (on behalf of Oracle Corporation) ',b'\n07/10/2013 ',b'\n            07/31/2013          '
b'\nCalifornia Correctional Health Care Services ',b'\n06/19/2013 ',b'\n            07/30/2013          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n02/01/2013 ',b'\n            07/19/2013          '
b'\nSan Jose Medical Supply Company ',"b'\n08/01/2011, 12/31/2011 '",b'\n            07/18/2013          '
b'\nOnCore Manufacturing Services ',b'\n07/05/2013 ',b'\n            07/16/2013          '
b'\nSonoma Valley Hospital ',b'\n02/14/2013 ',b'\n            07/10/2013          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            07/08/2013          '
"b""\nRoy's Holdings, Inc. """,b'\n01/28/2013 ',b'\n            07/08/2013          '
b'\nBureau of Automotive Repair ',b'\n            n/a          ',b'\n            07/03/2013          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            07/03/2013          '
b'\nQuayside Publishing Group ',b'\n04/29/2013 ',b'\n            07/02/2013          '
"b'\nMillimaki Eggert, LLP '",b'\n04/27/2013 ',b'\n            06/27/2013          '
